Start Time (s), Start Freq (MHz), Duration, Bandwidth (MHz)
2431.52438811189,603.790697674419,6.30487762237762,4.22653488372093
2434.17907342657,594.130046511628,3.65019230769231,3.62274418604651
2439.15660839161,603.790697674419,5.97304195804196,1.81137209302326
2439.48844405594,98.4178837209302,7.63222027972028,21.7364651162791
2442.8068006993,0,20.2419755244755,882.742
2443.13863636364,50.1146279069767,2.65468531468531,14.490976744186
2443.13863636364,62.7942325581395,2.98652097902098,26.5667906976744
2443.13863636364,120.154348837209,2.98652097902098,19.3213023255814
2443.13863636364,147.324930232558,2.98652097902098,34.4160697674419
2443.13863636364,693.151720930233,3.31835664335664,13.2833953488372
2443.13863636364,829.608418604651,3.65019230769231,45.2843023255814
2443.47047202797,89.361023255814,2.32284965034965,9.05686046511628
2443.47047202797,232.459418604651,2.32284965034965,5.43411627906977
2443.47047202797,252.988302325581,2.32284965034965,10.2644418604651
2443.47047202797,271.705813953488,2.32284965034965,5.43411627906977
2443.47047202797,312.159790697674,2.32284965034965,12.6796046511628
2443.47047202797,325.443186046512,2.32284965034965,7.84927906976744
2443.47047202797,358.651674418605,2.32284965034965,10.8682325581395
2443.47047202797,382.199511627907,2.32284965034965,10.8682325581395
2443.47047202797,417.219372093023,2.32284965034965,9.6606511627907
2443.47047202797,434.125511627907,2.32284965034965,14.490976744186
2443.47047202797,449.824069767442,2.32284965034965,12.0758139534884
2443.47047202797,461.296093023256,2.32284965034965,25.3592093023256
2443.47047202797,789.154441860465,2.65468531468531,21.7364651162791
2443.47047202797,810.28711627907,3.31835664335664,18.1137209302326
2443.80230769231,197.439558139535,1.99101398601399,8.45306976744186
2443.80230769231,213.741906976744,1.99101398601399,6.03790697674419
2443.80230769231,222.79876744186,1.99101398601399,7.84927906976744
2443.80230769231,301.291558139535,1.99101398601399,9.6606511627907
2443.80230769231,342.349325581395,1.99101398601399,7.84927906976744
2443.80230769231,427.483813953488,1.99101398601399,7.84927906976744
2443.80230769231,875.496511627907,1.99101398601399,5.43411627906977
2444.13414335664,242.723860465116,1.65917832167832,10.8682325581395
2444.13414335664,277.139930232558,1.65917832167832,10.2644418604651
2444.13414335664,294.046069767442,1.65917832167832,7.24548837209302
2444.13414335664,371.331279069767,1.65917832167832,6.03790697674419
2444.13414335664,393.671534883721,2.32284965034965,9.6606511627907
2444.13414335664,403.935976744186,1.65917832167832,12.0758139534884
